text	label
Buena relación calidad precio. Después de unas semanas de uso hemos podido comprobar que es un buen producto por el precio que tiene y con bonito diseño. Las uniones son lo único no metálico y confiemos en que con el tiempo no se rompan. Estamos contentos con la compra	1
Envío muy deficiente. El producto viene sin empaquetar, sólo con una pegatina con la dirección colocada en el propio envase. El envase llegó bastante doblado y para ser un alimento resulta poco fiable.	0
Muy buena compra. Al principio su diseño me resultó extraño, pero ahora me gusta mucho. Está muy afilada. Gran compra. Lo recomiendo, sin duda	1
Mala elección. No se ajusta a lo ofertado. Mala calidad y lo que es peor, pone que es edredón y es funda para nórdico. No volveré a comprar a este proveedor	0
Mala compra. Poco duración de batería, se entrecorta a menudo y en mi opinión un poco grandes	0
FATAL. No es el producto que pedido es de otro telefono y encima solo hay dos en lugar de tres	0
Muy malo. No cumple las espectativas y para el precio q tiene es caro ,ahora compre uno en el xino q me costo 1,50 i me funciona perfecto	0
Impresionante acabado y Super bien de Precio. Cumple su función estabiliza los vinilos algo doblados , incorpora un nivel de burbuja que indica si el plato esta nivelado el acabado en aluminio macizo es muy bueno y muy bien de precio Recomendado lo recibí en 24 horas	1
Características de esta bicicleta. Por favor, cambien la información sobre la bicicleta. No es plegable!!!	0
Cuidado al ponerla, se rompe. Cuando fui a ponerla se me rompió el cristal de detrás... Tener cuidado	0
Todo perfecto hasta ahora !. Todo top hasta ahora, 10 días después estoy muy contento de esta TV y del precio para esta qualidad.	1
DEVOLUCIÓN DE LA COMPRA. TRAS 3 PUESTAS UNO NO FUNCIONA, DECEPCIONADO	0
HA DEJADO DE FUNCIONAR EN 8 MESES.. ANTERIORMENTE TUVE OTRO COMPRADO EN TIENDA FÍSICA QUE ME HA DURADO CUATRO, AÑOS, EN ESTE CASO 8 MESES Y LA HORA SE RETRASA CADA DÍA MÁS TIEMPO, ACLARANDO QUE ME REFIERO A HORAS DE DIFERENCIA CON LA REAL. VAMOS QUE NO MERECE LA PENA COMPRARLO.	0
Seriedad. Buena relación calidad precio	1
Útil para exteriores. Muy útil para una terraza o patio. Aunque no soporta mucha potencia, es ideal para focos, lámparas o sistemas de riego.	1
Mala experiencia. La batería no venía en buenas condiciones. La fecha de fabricación era muy antigua, no recomendable	0
INMENSO. ES MUY GRANDE , NO SE SOSTIENE EN LA OREJA. NI SIQUIERA LO ENCENDI. SEGUN ME LLEGO LO DEVOLVI. no lo recomiendo	0
Muy chulas. Nos ha gustado mucho, la verdad es que no se como pegan las tiras que lleva, las pusimos con silicona y quedaron perfectamente	1
Buena relación calidad precio. El producto cumple con las expectativas.. Buena relación calidad precio. El producto cumple con las expectativas.	1
Pinceles. No he recibido aún mi pedido	0
Es excelente. calidad precio muy bueno tengo que tomar una diaria y me va de maravilla , mi medico ha dicho que hay mejoras , así que es un excelente producto , lo recomiendo y si tengo que seguir con el tratamiento lo volveré a comprar. lo recomiendo.	1
Fantástico, potente, bonito y discreto.. Muy buen precio, se escucha mejor de lo que pensaba. Se enciende pulsando el aparato por la parte de detrás y si lo tienes sin usarlo se apaga solo a los 5 minutos. Lo estoy usando en un barco para ampliar el sonido sin usar altavoces externos porque quería algo pequeño para llevar conmigo y estoy muy contento, va genial. También lo he usado con el iPad y se escucha muy bien, buena potencia, estoy más que sorprendido. El que esté buscando algo similar que sea pequeño y tenga potencia, este pequeño altavoz es muy adecuado.	1
Envío rapidísimo.. El envío llegó cuatro días antes de lo indicado, rapidísimo, y el producto es exactamente como lo anunciaban, todo excelente.	1
la entrega. producto no entregado, no puedo valorar	0
Estafa. Dicen que me lo han entregado y yo no he recibido nada y además no tienes donde reclamar.	0
Me fun fatal. No hemos probado hace poco y funciona fatal. Vamos a devolver. En unos minutos deja de calentar y solo va el ventilador de abajo	0
No va el táctil de la pantalla. Al colocar la pantalla no te deja utilizar el móvil porque el táctil no va. Hemos utilizado una de las dos, que podemos hacer?	0
Muy buena calidad y pesan poco. Me an gustado mucho, se ajusta perfectamente y no se mueven al hacer ejercicios, van muy bien para el sol, me las cogí con cristal azul y es ponerme las gafas y lo veo todo mejor sin molestar el sol,	1
Funciona sin problema. Es un HUB de multipuertos todo lo que necesita para un portátil MacBook Air 2019 que solo tiene puerto USB typ C. Tienes 3 puertos de USB 3.0, un lector de tarjeta de micro SD y otro SD, un puerto para cable HDMI y otro Ethernet y uno USB Typ-C. Está muy bien fabricado y en un embalaje que recuerda a las de dispositivo Apple. El cable de conexión mide unos 12 cm aproximadamente para poder recogerse en el aparato con un iman bastante potente. Ha yque tirar con fuerza para sacar de su sitio.	1
Correcto .. Perfecto lo esperado .	1
No funciona con dos kinect diferentes. No funciona, probado con dos kinect de enciende la luz del adaptador pero no la de la kinect.	0
Publicidad engañosa. Son sólo 10 pilas a pesar de que en la fotografía vienen 4 paquetes de 10 pilas cada uno. Es publicidad engañosa.	0
Me ha gustado. Geniales. Son muy buenas y viene muy bien empaquetadas. Van dos y ya voy por la segunda pantalla desde hace medio año y no porque se rompiera, sino porque al poner la primera pantalla no limpie antes la pantalla del móvil y se quedó suciedad atrapada y tuve que cambiarla. Menosmal que traía dos. Se ha caído el móvil varias veces y no se a rajado todavía. Es duradera comparada con otras.	1
Estafa. No me llega , ni me devuelve el dinero.	0
Perfecta. Me ha gustado mucho, es negro mate, no se desliza si dejas el móvil en una superficie lisa (Como una mesa por ejemplo) y los botones laterales quedan descubiertos para facilitar su uso. Los bordes del teléfono quedan protegidos y no es una funda aparatosa. Muy recomendable	1
Medidas erróneas. Ojo con las medidas, en sus características pone que tiene un diámetro externo de 240mm cuando realmente tiene bastante menos (sobre 225mm aproximadamente). Por lo que he tenido que devolverlo 2 veces.	0
tabla descongelar. no descongela tan rapido como dice para nada	0
Md. De vergüenza!!!! No volveré a comprar más aquí,es increíble q en más de un mes y pico no ha llegado mi pedido	0
Funda Correcta. Se ajusta bien y queda bien, para que mas?	1
Fundas. Pedí y pagué dos fundas y me ha llegado solo una,que tengo que hacer?	0
Muy pequeño. No abarca el wc y acaban apoyando igual	0
Error o estafa. Adquirí en enero esta tarjeta de memoria RAM donde se especificaba claramente que eran 8 GB. Al llevarla a instalarla hace unas semanas me dicen que es SOLO de 4 GB. Como ha excedido el tiempo de devolución parece que no hay solución. Tanto si es un error como si es una estafa se debería resolver satisfactoriamente para el cliente.	0
Me siento estafado. Me siento estafado. La descripción dice que es un paquete con 10 clips. Y me ha llegado un paquete con un sólo clip!! Y pequeño. Es un engaño. Que no me compensa ni ir hasta Correos para devolverlo. Nunca más compraré nada de este vendedor	0
Defectuoso solo llegar. Solo llegar. Abrir el paquete y ver que el Tirador de arranque y acelerador en mal estado No da posibilidad de devolución. Contactaré con vendedor y os seguiré informando.	0
Lavacabezas portatil. Es como se ve en las fotos . Facil de montar tal como se describe	1
inutil. es inutil no sirve para nada , no lo compren si no quieren perder el tiempo	0
muy bueno. Voy a empezar a usarlo, estoy seguro que es muy buen producto, yo llevo tomandolo un par de días y ya noto resultados	1
Se caliente demasiado. Se calienta muchísimo y se sale el líquido por la boquilla, lo cual es asqueroso además de que supongo que será tóxico. No lo recomiendo.	0
No sirve para la Gopro Hero 7 Silver. La protección para el cristal delantero donde está el objetivo no sirve para la Hero 7 silver, que para mi opinión es el más importante porque es el que queda más expuesto a golpes si vas en bici.	0
No Funciona , No se enciende , Defectuoso. No Funciona, no se enciende la luz	0
No me llego. En realidad no puedo decir cómo es porque ni si quiera me llego. Tampoco me dejaba localizar el envío. Finalmente lo cancele.	0
No lo he recibido.. No lo he recibido a dia 15 de julio.	0
buena jardinera. compramos la jardinera con la oferta de 10 euros pensabamos que quiza no llegaria pero llego hace pcoo, es bonita y parece resistente aun no la hemos probado	1
Ni regalada!!!!. La compre por las buenas criticas pero no me ha gustado nada!!!!!!!Tiene un olor muy fuerte y para mi no es agradable, y eso q no me molestan los olores fuertes!pero huele como a producto caducado. Ademas me reseca mucho la piel. La uso para limpiar las brochas. No la compraria de nuevo!!	0
Mochila espectacular. a mi hija le ha gustado por su poco peso, diseño discreto y tamaño adecuado. Recomendable totalmente. Tambien es facil de lavar,	1
BARATO, PERO NO AFILA. La palanca que se sube y se baja para que haga ventosa y se quede fijo, tiene un eje que se sale de su sitio, y tienes que estar poniéndola constantemente, pero lo peor es, que no afila. En cuanto le pasé el cuchillo tres o cuatro veces, dejó de afilar. He probado con varios cuchillos y no funciona con ninguno. Decepcionante. Y del tiempo que me ha tardado en llegar, ya ni hablamos. Cerca de dos meses. Yo ya no me acordaba de que lo había pedido. Menos mal que era barato, pero no vale para nada.	0
Todo ok. Buena relacion calidad/precio	1
Inaceptable. Me la enviaron con una rotura en la carcasa que no me parecio tan importante en el primer momento pero que con un poco de uso me vi obligado a tirarla. Es inaceptable que vendan material defectuoso como oferta	0
Buenísimo. Sigue así, me he leído todos tus libros y ya estoy esperando el siguiente no dejes de escribir . Suerte.	1
Ligero. Pequeño y ligero, se puede llevar fácilmente en el bolso o bolsillo de un abrigo. Cubre totalmente.	1
Roto. El bote o tarro de cristal nos llego roto	0
Que lleva estuche para guardar las piezas. A destacar el estuche para guardar las piezas	1
Envio. Envío pésimo. Lo dejan en buzón porque en el paquete pone en buzón cuando es producto premium y paga uno la cuota premium. Estafado. Comprar a otro vendedor o directamente a Amazon Amazon.	0
5 ******. súper bueno , aconsejo comprar mando con teclado	1
Sandra López. Este producto fue rechazado en que llegó por que fue pedido por error. El paquete no fue ni descargado de la furgoneta cuando llegó y lo rechace. Pero el dinero todavía no se me ha devuelto .espero contestación....	0
